Date,Open,High,Low,Close,Volume,Adjusted
2020/5/4,194.759994506836,195,189.529998779297,191.149993896484,25709400,184.602462768555
2020/5/5,196.380004882812,198.270004272461,194.199996948242,195.020004272461,22957200,188.339904785156
2020/5/6,197.669998168945,198.910003662109,194.929992675781,195.169998168945,18598900,188.484771728516
2020/5/7,198,198.089996337891,194.779998779297,196.490005493164,16164600,189.759567260742
2020/5/8,199.800003051758,203.020004272461,198.679992675781,201.190002441406,23819700,194.298568725586
2020/5/11,202.779998779297,206.639999389648,202.380004882812,205.399993896484,17920700,198.364349365234
2020/5/12,206.949996948242,208.050003051758,200.020004272461,200.309997558594,17826800,193.448699951172
2020/5/13,203.619995117188,204.679992675781,197.979995727539,199.460006713867,22429700,192.627822875977
2020/5/14,195.5,201.770004272461,194.029998779297,201.300003051758,20025900,194.404800415039
2020/5/15,200.699996948242,204.490005493164,200.100006103516,203.679992675781,17209500,196.703262329102
2020/5/18,212.5,215.470001220703,210.369995117188,215.279998779297,23556600,207.905944824219
2020/5/19,216.729995727539,220.589996337891,215.190002441406,217.199996948242,21438100,209.760162353516
2020/5/20,220,221.156997680664,210.580001831055,216.789993286133,38324100,209.364196777344
2020/5/21,211.289993286133,214.580001831055,209.529998779297,212.160003662109,29850700,204.892807006836
2020/5/22,203.229995727539,204.880004882812,198.990005493164,199.699996948242,51979300,192.859588623047
2020/5/26,205.940002441406,206.800003051758,201,201.720001220703,28683200,194.810409545898
2020/5/27,202.990005493164,202.990005493164,196.75,201.179992675781,23605400,194.288909912109
2020/5/28,199,202.369995117188,197.619995117188,199.490005493164,18763200,192.656799316406
2020/5/29,200,207.880004882812,196.699996948242,207.389999389648,43179500,200.286193847656
2020/6/1,205.899993896484,207.199996948242,203.940002441406,206.570007324219,16169700,199.494277954102
2020/6/2,207.210006713867,214.570007324219,207.169998168945,214.330001831055,22485800,206.988464355469
2020/6/3,215.600006103516,218.970001220703,213.75,218.610000610352,19999500,211.121871948242
2020/6/4,217.279998779297,220,216.320007324219,218.039993286133,14962400,210.571380615234
2020/6/5,220,220.589996337891,218.699996948242,219.550003051758,11983200,212.029678344727
2020/6/8,219.600006103516,220.399993896484,215.330001831055,219,12731200,211.498519897461
2020/6/9,216.309997558594,220.720001220703,216.199996948242,220.720001220703,14140100,213.159606933594
2020/6/10,222,225,220.600006103516,223.679992675781,13372400,216.018203735352
2020/6/11,218,219.949996948242,213.559997558594,215.240005493164,15560300,207.867309570312
2020/6/12,218.5,219.5,213.880004882812,217.639999389648,12716500,210.185089111328
2020/6/15,214.110000610352,217.720001220703,212.75,217.029998779297,17419900,209.595977783203
2020/6/16,221,224.839996337891,220.100006103516,222.619995117188,17212400,214.994506835938
2020/6/17,224.399993896484,225,222.5,224.25,12486700,216.56867980957
2020/6/18,223.740005493164,226.029998779297,222.919998168945,223.539993286133,10358800,215.882995605469
2020/6/19,226.380004882812,226.5,220.089996337891,220.639999389648,19545200,213.082336425781
2020/6/22,220.919998168945,222.080001831055,219.445007324219,221.410003662109,13303600,213.825958251953
2020/6/23,225.119995117188,230.225006103516,224.529998779297,228.75,18263400,220.914535522461
2020/6/24,228.300003051758,231.029998779297,224.251998901367,226.220001220703,12159500,218.471206665039
2020/6/25,224.589996337891,224.690002441406,220.869995117188,222.160003662109,14953100,214.550277709961
2020/6/26,222.210006713867,222.259994506836,213.5,215.710006713867,19340600,208.321212768555
2020/6/29,215.029998779297,216.5,211.820007324219,215.020004272461,12333000,207.654846191406
2020/6/30,215.740005493164,216.429992675781,212.889999389648,215.699996948242,12933800,208.311553955078
2020/7/1,215.809997558594,216.550003051758,214.740005493164,215.949996948242,11788100,208.552978515625
2020/7/2,221.850006103516,225.024993896484,220.059997558594,223.600006103516,18128700,215.940948486328
2020/7/6,233.309997558594,240.479995727539,232.820007324219,240,33702900,231.779190063477
2020/7/7,241.009994506836,241.300003051758,236.130004882812,236.509994506836,16491600,228.408737182617
2020/7/8,244.860000610352,258.489990234375,244.020004272461,257.679992675781,39922700,248.853591918945
2020/7/9,265.549987792969,268,255.910003662109,261.579986572266,36803900,252.619979858398
2020/7/10,260.209991455078,261.899993896484,255.710006713867,261.010009765625,20335000,252.069534301758
2020/7/13,261.450012207031,265.660003662109,250.679992675781,251.669998168945,21568700,243.049453735352
2020/7/14,246.570007324219,249.75,241.229995727539,248.580001831055,19782600,240.065292358398
2020/7/15,251.479995727539,252.5,246.539993286133,249.210006713867,12614700,240.673721313477
2020/7/16,241.770004272461,245.050003051758,240.740005493164,242.5,18032100,234.193542480469
